"","function","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","ArrByRest","DepByRest","depart","Response","Chordnotes"
"991","4D","I/V","(16ggLL","2","0.25","2","[gg]","F","cat_themes.krn","0","0","-M2",NA,NA
"992","4D","I/V","16ff","2.25","0.25","1","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"993","4D","I/V","16ee","2.5","0.25","7","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"994","4D","I/V","16ddJJ)","2.75","0.25","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"996","4D","I/V","(16ccLL","1","0.25","5","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"997","4D","I/V","16b","1.25","0.25","4+","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"998","4D","I/V","16cc","1.5","0.25","5","+m2","F","cat_themes.krn","0","0","+M3",NA,NA
"999","4D","I/V","16eeJJ)","1.75","0.25","7","+M3","F","cat_themes.krn","0","0","-M2",NA,NA
"1001","4D","V7/V","(16ddLL","2","0.25","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1002","4D","V7/V","16cc","2.25","0.25","5","-M2","F","cat_themes.krn","0","0","+M2",NA,NA
"1003","4D","V7/V","16dd","2.5","0.25","6","+M2","F","cat_themes.krn","0","0","-m3",NA,NA
"1004","4D","V7/V","16bJJ)","2.75","0.25","4+","-m3","F","cat_themes.krn","0","0","+m2",NA,NA
"1005","2D","I/V","4cc","1","1","5","+m2","F","cat_themes.krn","0","0","+P5",NA,NA
"1007","2D","I/V","(16ggLL","2","0.25","2","+P5","F","cat_themes.krn","0","0","-M2",NA,NA
"1008","2D","I/V","16ff","2.25","0.25","1","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1009","2D","I/V","16ee","2.5","0.25","7","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"1010","2D","I/V","16ddJJ)","2.75","0.25","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1012","4D","I/V","(16ccLL","1","0.25","5","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1013","4D","I/V","16b","1.25","0.25","4+","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"1014","4D","I/V","16cc","1.5","0.25","5","+m2","F","cat_themes.krn","0","0","+M3",NA,NA
"1015","4D","I/V","16eeJJ)","1.75","0.25","7","+M3","F","cat_themes.krn","0","0","-M2",NA,NA
"1017","4D","V7/V","(16ddLL","2","0.25","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1018","4D","V7/V","16cc","2.25","0.25","5","-M2","F","cat_themes.krn","0","0","+M2",NA,NA
"1019","4D","V7/V","16dd","2.5","0.25","6","+M2","F","cat_themes.krn","0","0","-m3",NA,NA
"1020","4D","V7/V","16bJJ)","2.75","0.25","4+","-m3","F","cat_themes.krn","0","0","+m2",NA,NA
"1021","4D","I/V","8cc","1","0.5","5","+m2","F","cat_themes.krn","0","1","P1",NA,NA
"1023","4D","vi/V","4cc","2","1","5","P1","F","cat_themes.krn","1","0","+M2",NA,NA
"1024","2D","V7/V/V","8dd","1","0.5","6","+M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1025","2D","V7/V/V","8cc","1.5","0.5","5","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1026","2D","V7/V/V","8b-'","2","0.5","4","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1027","2D","V7/V/V","8a'","2.5","0.5","3","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"1028","2D","V/V","8b-","1","0.5","4","+m2","F","cat_themes.krn","0","1","P1",NA,NA
"1030","2D","V/V","4b-","2","1","4","P1","F","cat_themes.krn","1","0","+M2",NA,NA
"1032","2D","V7","8cc","1","0.5","5","+M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1033","2D","V7","8b-","1.5","0.5","4","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1034","2D","V7","8a'","2","0.5","3","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"1035","2D","V7","8g'","2.5","0.5","2","-M2","F","cat_themes.krn","0","0","+M2",NA,NA
"1036","4T","I","4a","1","1","3","+M2","F","cat_themes.krn","0","0","[cc]",NA,NA
"1038","4T","I","4cc","2","1","5","[cc]","F","cat_themes.krn","0","0","-m3",NA,NA
"1039","2T","I","8a","1","0.5","3","-m3","F","cat_themes.krn","0","0","-M3",NA,NA
"1040","2T","I","8f","1.5","0.5","1","-M3","F","cat_themes.krn","0","0","+M3",NA,NA
"1041","2T","I","8a","2","0.5","3","+M3","F","cat_themes.krn","0","0","+m3",NA,NA
"1042","2T","I","8cc","2.5","0.5","5","+m3","F","cat_themes.krn","0","0","-M2",NA,NA
"1044","4T","V7","4b-","1","1","4","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1045","4T","I","4a","2","1","3","-m2","F","cat_themes.krn","0","0","+P4",NA,NA
"1046","4P","IV","8dd'","1","0.5","6","+P4","F","cat_themes.krn","0","0","P1",NA,NA
"1047","4P","IV","8dd'","1.5","0.5","6","P1","F","cat_themes.krn","0","0","-M2",NA,NA
"1048","4D","V7","8cc'","2","0.5","5","-M2","F","cat_themes.krn","0","0","-m6",NA,NA
"1049","4D","V7","8e'","2.5","0.5","7","-m6","F","cat_themes.krn","0","0","+m2",NA,NA
"1050","2T","I","4f","1","1","1","+m2","F","cat_themes.krn","0","1","[cc]",NA,NA
"1052","2T","V7","12ccL","1","0.333333","5","[cc]","F","cat_themes.krn","1","0","+M3",NA,NA
"1053","2T","V7","12ee","1.33333","0.333333","7","+M3","F","cat_themes.krn","0","0","-M2",NA,NA
"1055","2T","V7","12ddJ","1.66667","0.333333","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1056","2T","V7","12ccL","2","0.333333","5","-M2","F","cat_themes.krn","0","0","+M2",NA,NA
"1057","2T","V7","12dd","2.33333","0.333333","6","+M2","F","cat_themes.krn","0","0","+M2",NA,NA
"1059","2T","V7","12eeJ","2.66667","0.333333","7","+M2","F","cat_themes.krn","0","0","+m2",NA,NA
"1060","2T","I","12ffL","1","0.333333","1","+m2","F","cat_themes.krn","0","0","+M3",NA,NA
"1061","2T","I","12aa","1.33333","0.333333","3","+M3","F","cat_themes.krn","0","0","-M2",NA,NA
"1063","2T","I","12ggJ","1.66667","0.333333","2","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1064","2T","I","12ffL","2","0.333333","1","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1065","2T","I","12ee","2.33333","0.333333","7","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"1067","2T","I","12ddJ","2.66667","0.333333","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1068","2T","V","12ccL","1","0.333333","5","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1069","2T","V","12b","1.33333","0.333333","4+","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"1071","2T","V","12ccJ","1.66667","0.333333","5","+m2","F","cat_themes.krn","0","0","P1",NA,NA
"1072","2T","V","12ccL","2","0.333333","5","P1","F","cat_themes.krn","0","0","+M2",NA,NA
"1073","2T","V","12dd","2.33333","0.333333","6","+M2","F","cat_themes.krn","0","0","-M3",NA,NA
"1075","2T","V","12b-J","2.66667","0.333333","4","-M3","F","cat_themes.krn","0","0","-m2",NA,NA
"1076","2T","I","4a","1","1","3","-m2","F","cat_themes.krn","0","0","+m3",NA,NA
"1080","2T","V7","12ccL","1","0.333333","5","+m3","F","cat_themes.krn","1","0","+M3",NA,NA
"1081","2T","V7","12ee","1.33333","0.333333","7","+M3","F","cat_themes.krn","0","0","-M2",NA,NA
"1083","2T","V7","12ddJ","1.66667","0.333333","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1084","2T","V7","12ccL","2","0.333333","5","-M2","F","cat_themes.krn","0","0","+M2",NA,NA
"1085","2T","V7","12dd","2.33333","0.333333","6","+M2","F","cat_themes.krn","0","0","+M2",NA,NA
"1087","2T","V7","12eeJ","2.66667","0.333333","7","+M2","F","cat_themes.krn","0","0","+m2",NA,NA
"1088","4T","I","12ffL","1","0.333333","1","+m2","F","cat_themes.krn","0","0","+M3",NA,NA
"1089","4T","I","12aa","1.33333","0.333333","3","+M3","F","cat_themes.krn","0","0","-M2",NA,NA
"1091","4T","I","12ggJ","1.66667","0.333333","2","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1092","4T","vi","12ffL","2","0.333333","1","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1093","4T","vi","12ee","2.33333","0.333333","7","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"1095","4T","vi","12ffJ","2.66667","0.333333","1","+m2","F","cat_themes.krn","0","0","-m3",NA,NA
"1096","4P","ii","12ddL","1","0.333333","6","-m3","F","cat_themes.krn","0","0","+P4",NA,NA
"1097","4P","ii","12gg","1.33333","0.333333","2","+P4","F","cat_themes.krn","0","0","-M2",NA,NA
"1099","4P","ii","12ffJ","1.66667","0.333333","1","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1100","4D","V7","12eeL","2","0.333333","7","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"1101","4D","V7","12dd","2.33333","0.333333","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1103","4D","V7","12ccJ","2.66667","0.333333","5","-M2","F","cat_themes.krn","0","0","+P4",NA,NA
"1104","4T","I","4ff","1","1","1","+P4","F","cat_themes.krn","0","0","-m9",NA,NA
"1105","4T","V7","4e","2","1","7","-m9","F","cat_themes.krn","0","0","+m2",NA,NA
"1106","4T","I","4f","1","1","1","+m2","F","cat_themes.krn","0","0","[f]",NA,NA
"1107","4.T","I","8fL","1","0.5","1","[f]","F","cat_themes.krn","0","0","+M3",NA,NA
"1108","4.T","I","8a","1.5","0.5","3","+M3","F","cat_themes.krn","0","0","-M3",NA,NA
"1109","4.T","I","8fJ","2","0.5","1","-M3","F","cat_themes.krn","0","0","+P5",NA,NA
"1111","4.T","V","16ccLL","1","0.25","5","+P5","F","cat_themes.krn","0","0","-m2",NA,NA
"1112","4.T","V","16b","1.25","0.25","4+","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"1113","4.T","V","16cc","1.5","0.25","5","+m2","F","cat_themes.krn","0","0","+M2",NA,NA
"1114","4.T","V","16ddJ","1.75","0.25","6","+M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1115","4.T","V","8ccJ","2","0.5","5","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1116","4.T","V7","8b-L","1","0.5","4","-M2","F","cat_themes.krn","0","0","-m3",NA,NA
"1117","4.T","V7","8g","1.5","0.5","2","-m3","F","cat_themes.krn","0","0","+P4",NA,NA
"1118","4.T","V7","8ccJ","2","0.5","5","+P4","F","cat_themes.krn","0","0","-m3",NA,NA
"1120","4.T","I","8aL","1","0.5","3","-m3","F","cat_themes.krn","0","0","-M2",NA,NA
"1121","4.T","I","16gL","1.5","0.25","2","-M2","F","cat_themes.krn","0","0","+M2",NA,NA
"1122","4.T","I","16aJ","1.75","0.25","3","+M2","F","cat_themes.krn","0","0","-M3",NA,NA
"1123","4.T","I","8fJ","2","0.5","1","-M3","F","cat_themes.krn","0","0","P1",NA,NA
"1124","4.T","IV/V[I]","8fL","1","0.5","1","P1","F","cat_themes.krn","0","0","+M3",NA,NA
"1125","4.T","IV/V[I]","8a","1.5","0.5","3","+M3","F","cat_themes.krn","0","0","+M2",NA,NA
"1126","4.T","IV/V[I]","8bJ","2","0.5","4+","+M2","F","cat_themes.krn","0","0","+m2",NA,NA
"1128","4T","I/V","16ccLL","1","0.25","5","+m2","F","cat_themes.krn","0","0","-m2",NA,NA
"1129","4T","I/V","16b","1.25","0.25","4+","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"1130","4T","I/V","16cc","1.5","0.25","5","+m2","F","cat_themes.krn","0","0","+M2",NA,NA
"1131","4T","I/V","16ddJ","1.75","0.25","6","+M2","F","cat_themes.krn","0","0","+M2",NA,NA
"1132","8T","I/V","8eeJ","2","0.5","7","+M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1133","8P","ii/V","8dd","1","0.5","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"1134","8P","C/V","8cc","1.5","0.5","5","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"1135","8P","V7/V","8b","2","0.5","4+","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"1136","4.D","V","4.cc;","1","1.5","5","+m2","F","cat_themes.krn","0","0","[cc]",NA,NA
"1137","4.T","I","8ccL","1","0.5","5","[cc]","F","cat_themes.krn","0","0","P1",NA,NA
"1138","4.T","I","8cc","1.5","0.5","5","P1","F","cat_themes.krn","0","0","+P4",NA,NA
"1139","4.T","I","8ffJ","2","0.5","1","+P4","F","cat_themes.krn","0","0","-m3",NA,NA
"1140","4T","IV","16ddLL","1","0.25","6","-m3","F","cat_themes.krn","0","0","+M2",NA,NA
"1141","4T","IV","16ee","1.25","0.25","7","+M2","F","cat_themes.krn","0","0","+m2",NA,NA
"1142","4T","IV","16ff","1.5","0.25","1","+m2","F","cat_themes.krn","0","0","-m3",NA,NA
"1143","4T","IV","16ddJ","1.75","0.25","6","-m3","F","cat_themes.krn","0","0","-M2",NA,NA
"1144","8T","I","8ccJ","2","0.5","5","-M2","F","cat_themes.krn","0","0","P1",NA,NA
"1145","4.T","I","8ccL","1","0.5","5","P1","F","cat_themes.krn","0","0","P1",NA,NA
"1146","4.T","I","8cc","1.5","0.5","5","P1","F","cat_themes.krn","0","0","+P4",NA,NA
"1147","4.T","I","8ffJ","2","0.5","1","+P4","F","cat_themes.krn","0","0","-m3",NA,NA
"1148","4T","IV","16ddLL","1","0.25","6","-m3","F","cat_themes.krn","0","0","+M2",NA,NA
"1149","4T","IV","16ee","1.25","0.25","7","+M2","F","cat_themes.krn","0","0","+m2",NA,NA
"1150","4T","IV","16ff","1.5","0.25","1","+m2","F","cat_themes.krn","0","0","-m3",NA,NA
"1151","4T","IV","16ddJ","1.75","0.25","6","-m3","F","cat_themes.krn","0","0","-M2",NA,NA
"1152","8T","I","8ccJ","2","0.5","5","-M2","F","cat_themes.krn","0","0","+P5",NA,NA
"1153","4.T","V7","8gg'L","1","0.5","2","+P5","F","cat_themes.krn","0","0","-m3",NA,NA
"1154","4.T","V7","8ee'J","1.5","0.5","7","-m3","F","cat_themes.krn","0","1","-A4",NA,NA
"1156","4.T","V7","8b-'","1","0.5","4","-A4","F","cat_themes.krn","1","0","-m3",NA,NA
"1157","4.T","V7","8g'","1.5","0.5","2","-m3","F","cat_themes.krn","0","1","+m7",NA,NA
"1159","4.T","I","8ffL","1","0.5","1","+m7","F","cat_themes.krn","1","0","-P8",NA,NA
"1160","4.T","I","8f","1.5","0.5","1","-P8","F","cat_themes.krn","0","0","+M3",NA,NA
"1161","4.T","I","8aJ","2","0.5","3","+M3","F","cat_themes.krn","0","0","-M2",NA,NA
"1163","4.P","ii","8g","1","0.5","2","-M2","F","cat_themes.krn","0","0","P1",NA,NA
"1164","4.P","ii","8g","1.5","0.5","2","P1","F","cat_themes.krn","0","1","+P4",NA,NA
"1166","4D","C","8cc","1","0.5","5","+P4","F","cat_themes.krn","1","0","-m3",NA,NA
"1167","4D","C","16a","1.5","0.25","3","-m3","F","cat_themes.krn","0","0","+m3",NA,NA
"1168","4D","C","16cc","1.75","0.25","5","+m3","F","cat_themes.krn","0","0","-M2",NA,NA
"1169","8D","V7","16b-","2","0.25","4","-M2","F","cat_themes.krn","0","0","-m3",NA,NA
"1170","8D","V7","16g","2.25","0.25","2","-m3","F","cat_themes.krn","0","0","-M2",NA,NA
"1171","4.T","I","8f","1","0.5","1","-M2","F","cat_themes.krn","0","1","[gg]",NA,NA
"1174","4.D","V7","8gg'","1","0.5","2","[gg]","F","cat_themes.krn","1","0","-m3",NA,NA
"1175","4.D","V7","8ee'","1.5","0.5","7","-m3","F","cat_themes.krn","0","1","-A4",NA,NA
"1177","4.D","V7","8b-'","1","0.5","4","-A4","F","cat_themes.krn","1","0","-m3",NA,NA
"1178","4.D","V7","8g'","1.5","0.5","2","-m3","F","cat_themes.krn","0","1","+m7",NA,NA
"1180","4.T","I","8ffL","1","0.5","1","+m7","F","cat_themes.krn","1","0","-P8",NA,NA
"1181","4.T","I","8f","1.5","0.5","1","-P8","F","cat_themes.krn","0","0","+M3",NA,NA
"1182","4.T","I","8aJ","2","0.5","3","+M3","F","cat_themes.krn","0","0","-M2",NA,NA
"1183","4.P","ii","8g","1","0.5","2","-M2","F","cat_themes.krn","0","0","P1",NA,NA
"1184","4.P","ii","8g","1.5","0.5","2","P1","F","cat_themes.krn","0","1","+P4",NA,NA
"1186","4D","C","8cc","1","0.5","5","+P4","F","cat_themes.krn","1","0","-m3",NA,NA
"1187","4D","C","16a","1.5","0.25","3","-m3","F","cat_themes.krn","0","0","+m3",NA,NA
"1188","4D","C","16cc","1.75","0.25","5","+m3","F","cat_themes.krn","0","0","-M2",NA,NA
"1189","8D","V7","16b-","2","0.25","4","-M2","F","cat_themes.krn","0","0","-m3",NA,NA
"1190","8D","V7","16g","2.25","0.25","2","-m3","F","cat_themes.krn","0","0","-M2",NA,NA
"1191","4.T","I","8f","1","0.5","1","-M2","F","cat_themes.krn","0","1","[b]",NA,NA
"1194","4T","I","8b'","2","0.5","3","[b]","G","cat_themes.krn","1","0","P1",NA,NA
"1195","4T","I","8b'","2.5","0.5","3","P1","G","cat_themes.krn","0","0","-M2",NA,NA
"1196","4.T","ii","8.a","1","0.75","2","-M2","G","cat_themes.krn","0","0","+M2",NA,NA
"1197","4.T","ii","32bLL","1.75","0.125","3","+M2","G","cat_themes.krn","0","0","+m2",NA,NA
"1198","4.T","ii","32ccJJJ)","1.875","0.125","4","+m2","G","cat_themes.krn","0","0","-m6",NA,NA
"1199","4.T","ii","8eL","2","0.5","6","-m6","G","cat_themes.krn","0","0","+M2",NA,NA
"1200","8T","V7","8f#","2.5","0.5","7","+M2","G","cat_themes.krn","0","0","+m2",NA,NA
"1201","4T","I","8g","1","0.5","1","+m2","G","cat_themes.krn","0","0","-P4",NA,NA
"1202","4T","I","16dJk)","1.5","0.25","5","-P4","G","cat_themes.krn","0","1","+P5",NA,NA
"1204","4T","V","8a","2","0.5","2","+P5","G","cat_themes.krn","1","0","-P5",NA,NA
"1205","4T","V","16dJk)","2.5","0.25","5","-P5","G","cat_themes.krn","0","1","+M6",NA,NA
"1207","4T","I","8b","1","0.5","3","+M6","G","cat_themes.krn","1","0","-M6",NA,NA
"1208","4T","I","16dJk)","1.5","0.25","5","-M6","G","cat_themes.krn","0","1","+m7",NA,NA
"1210","8T","V7","8cc'","2","0.5","4","+m7","G","cat_themes.krn","1","0","-m2",NA,NA
"1211","8T","I","8b'","2.5","0.5","3","-m2","G","cat_themes.krn","0","0","-M2",NA,NA
"1212","4D","V","4a","1","1","2","-M2","G","cat_themes.krn","0","0","[b]",NA,NA
"1213","4T","I","8b'","2","0.5","3","[b]","G","cat_themes.krn","0","0","P1",NA,NA
"1214","4T","I","8b'","2.5","0.5","3","P1","G","cat_themes.krn","0","0","-M2",NA,NA
"1215","4.T","ii","8.a","1","0.75","2","-M2","G","cat_themes.krn","0","0","+M2",NA,NA
"1216","4.T","ii","32bLL","1.75","0.125","3","+M2","G","cat_themes.krn","0","0","+m2",NA,NA
"1217","4.T","ii","32ccJJJ","1.875","0.125","4","+m2","G","cat_themes.krn","0","0","-m6",NA,NA
"1218","4.T","ii","8eL","2","0.5","6","-m6","G","cat_themes.krn","0","0","+M2",NA,NA
"1219","8T","V7","8f#","2.5","0.5","7","+M2","G","cat_themes.krn","0","0","+m2",NA,NA
"1220","4T","I","8g","1","0.5","1","+m2","G","cat_themes.krn","0","0","-P4",NA,NA
"1221","4T","I","16dJk)","1.5","0.25","5","-P4","G","cat_themes.krn","0","1","+P5",NA,NA
"1223","4T","V","8a","2","0.5","2","+P5","G","cat_themes.krn","1","0","-P5",NA,NA
"1224","4T","V","16dJk)","2.5","0.25","5","-P5","G","cat_themes.krn","0","1","+M6",NA,NA
"1226","4T","I","8b","1","0.5","3","+M6","G","cat_themes.krn","1","0","-M6",NA,NA
"1227","4T","I","16dJk)","1.5","0.25","5","-M6","G","cat_themes.krn","0","1","+M3",NA,NA
"1229","8P","C/V","8f#'","2","0.5","7","+M3","G","cat_themes.krn","1","0","-M2",NA,NA
"1230","8P","V7/V","8e'","2.5","0.5","6","-M2","G","cat_themes.krn","0","0","-M2",NA,NA
"1231","4D","V","4d","1","1","5","-M2","G","cat_themes.krn","0","0","[dd]",NA,NA
"1232","4T","I","8dd'L","2","0.5","5","[dd]","G","cat_themes.krn","0","0","P1",NA,NA
"1233","4T","I","8dd'J","2.5","0.5","5","P1","G","cat_themes.krn","0","0","P1",NA,NA
"1234","4T","V7","(8ddL","1","0.5","5","P1","G","cat_themes.krn","0","0","-M2",NA,NA
"1235","4T","V7","16ccJk)","1.5","0.25","4","-M2","G","cat_themes.krn","0","1","-m2",NA,NA
"1238","4T","I","(16.bLL)","2","0.375","3","-m2","G","cat_themes.krn","0","0","-M2",NA,NA
"1239","4T","I","32ak","2.375","0.125","2","-M2","G","cat_themes.krn","0","0","+M2",NA,NA
"1240","4T","I","16.b","2.5","0.375","3","+M2","G","cat_themes.krn","0","0","+m2",NA,NA
"1241","4T","I","32ccJJk)","2.875","0.125","4","+m2","G","cat_themes.krn","0","0","-m2",NA,NA
"1242","4T","V","(8bL","1","0.5","3","-m2","G","cat_themes.krn","0","0","-M2",NA,NA
"1243","4T","V","8aJ)","1.5","0.5","2","-M2","G","cat_themes.krn","0","0","+P5",NA,NA
"1244","4T","V7","8ee'L","2","0.5","6","+P5","G","cat_themes.krn","0","0","P1",NA,NA
"1245","4T","V7","8ee'J","2.5","0.5","6","P1","G","cat_themes.krn","0","0","P1",NA,NA
"1246","4T","I","(8eeL","1","0.5","6","P1","G","cat_themes.krn","0","0","-M2",NA,NA
"1247","4T","I","16ddJk)","1.5","0.25","5","-M2","G","cat_themes.krn","0","1","-M2",NA,NA
"1250","4D","V7","(16.ccLL)","2","0.375","4","-M2","G","cat_themes.krn","0","0","-m2",NA,NA
"1251","4D","V7","32bk","2.375","0.125","3","-m2","G","cat_themes.krn","0","0","+m2",NA,NA
"1252","4D","V7","16.cc","2.5","0.375","4","+m2","G","cat_themes.krn","0","0","+M2",NA,NA
"1253","4D","V7","32ddJJk)","2.875","0.125","5","+M2","G","cat_themes.krn","0","0","-M2",NA,NA
"1254","4T","I","(8ccL","1","0.5","4","-M2","G","cat_themes.krn","0","0","-m2",NA,NA
"1255","4T","I","16bJk)","1.5","0.25","3","-m2","G","cat_themes.krn","0","1","[b]",NA,NA
"1257","4T","I","8b'","2","0.5","3","[b]","G","cat_themes.krn","1","0","P1",NA,NA
"1258","4T","I","8b'","2.5","0.5","3","P1","G","cat_themes.krn","0","0","-M2",NA,NA
"1259","4.T","ii","8.a","1","0.75","2","-M2","G","cat_themes.krn","0","0","+M2",NA,NA
"1260","4.T","ii","32bLL","1.75","0.125","3","+M2","G","cat_themes.krn","0","0","+m2",NA,NA
"1261","4.T","ii","32ccJJJ)","1.875","0.125","4","+m2","G","cat_themes.krn","0","0","-m6",NA,NA
"1262","4.T","ii","8eL","2","0.5","6","-m6","G","cat_themes.krn","0","0","+M2",NA,NA
"1263","8T","V7","8f#","2.5","0.5","7","+M2","G","cat_themes.krn","0","0","+m2",NA,NA
"1264","4T","I","8g","1","0.5","1","+m2","G","cat_themes.krn","0","0","-P4",NA,NA
"1265","4T","I","16dJk)","1.5","0.25","5","-P4","G","cat_themes.krn","0","1","+P5",NA,NA
"1267","4T","V","8a","2","0.5","2","+P5","G","cat_themes.krn","1","0","-P5",NA,NA
"1268","4T","V","16dJk)","2.5","0.25","5","-P5","G","cat_themes.krn","0","1","+M6",NA,NA
"1270","4T","I","8b","1","0.5","3","+M6","G","cat_themes.krn","1","0","-M6",NA,NA
"1271","4T","I","16dJk)","1.5","0.25","5","-M6","G","cat_themes.krn","0","1","+m7",NA,NA
"1273","8P","IV","8cc'","2","0.5","4","+m7","G","cat_themes.krn","1","0","-m3",NA,NA
"1274","8D","V","8a'","2.5","0.5","2","-m3","G","cat_themes.krn","0","0","-M2",NA,NA
"1275","4T","I","4g","1","1","1","-M2","G","cat_themes.krn","0","0","[cc]",NA,NA
"1276","2T","I","4cc","1","1","1","[cc]","C","cat_themes.krn","0","0","P1",NA,NA
"1277","2T","I","4cc","2","1","1","P1","C","cat_themes.krn","0","0","+M2",NA,NA
"1278","4T","ii","4dd","3","1","2","+M2","C","cat_themes.krn","0","0","-m3",NA,NA
"1279","2.T","V","4.b","1","1.5","7","-m3","C","cat_themes.krn","0","0","+m2",NA,NA
"1280","2.T","V","8cc","2.5","0.5","1","+m2","C","cat_themes.krn","0","0","+M2",NA,NA
"1281","2.T","V","4dd","3","1","2","+M2","C","cat_themes.krn","0","0","+M2",NA,NA
"1282","4T","I","4ee","1","1","3","+M2","C","cat_themes.krn","0","0","P1",NA,NA
"1283","4T","vi","4ee","2","1","3","P1","C","cat_themes.krn","0","0","+m2",NA,NA
"1284","4T","ii","4ff","3","1","4","+m2","C","cat_themes.krn","0","0","-P4",NA,NA
"1285","4T","C","4cc","1","1","1","-P4","C","cat_themes.krn","0","0","-m2",NA,NA
"1286","4T","viioD7/vi","4b","2","1","7","-m2","C","cat_themes.krn","0","0","-M2",NA,NA
"1288","4T","vi","4a","3","1","6","-M2","C","cat_themes.krn","0","0","P1",NA,NA
"1289","4P","ii","4a","1","1","6","P1","C","cat_themes.krn","0","0","-M2",NA,NA
"1291","4D","C","4g","2","1","5","-M2","C","cat_themes.krn","0","0","P1",NA,NA
"1292","4D","V","4g","3","1","5","P1","C","cat_themes.krn","0","0","P1",NA,NA
"1293","2.T","I","4.g","1","1.5","5","P1","C","cat_themes.krn","0","0","[gg]",NA,NA
"1298","2.T","I","4gg","1","1","5","[gg]","C","cat_themes.krn","1","0","P1",NA,NA
"1299","2.T","I","4gg","2","1","5","P1","C","cat_themes.krn","0","0","P1",NA,NA
"1300","2.T","I","4gg","3","1","5","P1","C","cat_themes.krn","0","0","P1",NA,NA
"1301","2.T","I","4.gg","1","1.5","5","P1","C","cat_themes.krn","0","0","-M2",NA,NA
"1303","2.T","I","8ff","2.5","0.5","4","-M2","C","cat_themes.krn","0","0","-m2",NA,NA
"1304","2.T","I","4ee","3","1","3","-m2","C","cat_themes.krn","0","0","+m2",NA,NA
"1305","2.T","V7","4ff","1","1","4","+m2","C","cat_themes.krn","0","0","P1",NA,NA
"1306","2.T","V7","4ff","2","1","4","P1","C","cat_themes.krn","0","0","P1",NA,NA
"1307","2.T","V7","4ff","3","1","4","P1","C","cat_themes.krn","0","0","P1",NA,NA
"1308","2.T","V7","4.ff","1","1.5","4","P1","C","cat_themes.krn","0","0","-m2",NA,NA
"1310","2.T","V7","8ee","2.5","0.5","3","-m2","C","cat_themes.krn","0","0","-M2",NA,NA
"1311","2.T","V7","4dd","3","1","2","-M2","C","cat_themes.krn","0","0","+M2",NA,NA
"1312","2.T","I","4ee","1","1","3","+M2","C","cat_themes.krn","0","0","+m2",NA,NA
"1313","2.T","I","8ff","2","0.5","4","+m2","C","cat_themes.krn","0","0","-m2",NA,NA
"1314","2.T","I","8ee","2.5","0.5","3","-m2","C","cat_themes.krn","0","0","-M2",NA,NA
"1315","2.T","I","8dd","3","0.5","2","-M2","C","cat_themes.krn","0","0","-M2",NA,NA
"1316","2.T","I","8cc","3.5","0.5","1","-M2","C","cat_themes.krn","0","0","+M3",NA,NA
"1317","4.T","I","4.ee","1","1.5","3","+M3","C","cat_themes.krn","0","0","+m2",NA,NA
